user_id,entity,type,category,project,branch,language,is_write,editor,operating_system,machine,user_agent,time,created_at
Lelando1234,C:/Users/tiaan/My Drive/Tiaan/Personal/Documents & Other/Github/CompanyIntranet/.gitignore,file,coding,CompanyIntranet,main,Text,true,Wakatime,Windows,Tiaan-Lenovo,codex-wakapi-history-import/1.0,2025-08-08 12:33:00.000,2026-05-04 03:43:07.957
Lelando1234,C:/Users/tiaan/My Drive/Tiaan/Personal/Documents & Other/Github/CompanyIntranet/.gitignore,file,coding,CompanyIntranet,main,Text,true,Wakatime,Windows,Tiaan-Lenovo,codex-wakapi-history-import/1.0,2025-08-08 12:35:00.000,2026-05-04 03:43:07.957
Lelando1234,C:/Users/tiaan/My Drive/Tiaan/Personal/Documents & Other/Github/CompanyIntranet/.gitignore,file,coding,CompanyIntranet,main,Text,true,Wakatime,Windows,Tiaan-Lenovo,codex-wakapi-history-import/1.0,2025-08-08 12:37:00.000,2026-05-04 03:43:07.957
Lelando1234,C:/Users/tiaan/My Drive/Tiaan/Personal/Documents & Other/Github/CompanyIntranet/.gitignore,file,coding,CompanyIntranet,main,Text,true,Wakatime,Windows,Tiaan-Lenovo,codex-wakapi-history-import/1.0,2025-08-08 12:39:00.000,2026-05-04 03:43:07.957
Lelando1234,C:/Users/tiaan/My Drive/Tiaan/Personal/Documents & Other/Github/CompanyIntranet/.gitignore,file,coding,CompanyIntranet,main,Text,true,Wakatime,Windows,Tiaan-Lenovo,codex-wakapi-history-import/1.0,2025-08-08 12:41:00.000,2026-05-04 03:43:07.957
Lelando1234,C:/Users/tiaan/My Drive/Tiaan/Personal/Documents & Other/Github/CompanyIntranet/.gitignore,file,coding,CompanyIntranet,main,Text,true,Wakatime,Windows,Tiaan-Lenovo,codex-wakapi-history-import/1.0,2025-08-08 12:43:00.000,2026-05-04 03:43:07.957
Lelando1234,C:/Users/tiaan/My Drive/Tiaan/Personal/Documents & Other/Github/CompanyIntranet/.gitignore,file,coding,CompanyIntranet,main,Text,true,Wakatime,Windows,Tiaan-Lenovo,codex-wakapi-history-import/1.0,2025-08-08 12:45:00.000,2026-05-04 03:43:07.957
Lelando1234,C:/Users/tiaan/My Drive/Tiaan/Personal/Documents & Other/Github/CompanyIntranet/.gitignore,file,coding,CompanyIntranet,main,Text,true,Wakatime,Windows,Tiaan-Lenovo,codex-wakapi-history-import/1.0,2025-08-08 12:47:00.000,2026-05-04 03:43:07.957
Lelando1234,C:/Users/tiaan/My Drive/Tiaan/Personal/Documents & Other/Github/CompanyIntranet/.gitignore,file,coding,CompanyIntranet,main,Text,true,Wakatime,Windows,Tiaan-Lenovo,codex-wakapi-history-import/1.0,2025-08-08 12:49:00.000,2026-05-04 03:43:07.957
Lelando1234,C:/Users/tiaan/My Drive/Tiaan/Personal/Documents & Other/Github/CompanyIntranet/.gitignore,file,coding,CompanyIntranet,main,Text,true,Wakatime,Windows,Tiaan-Lenovo,codex-wakapi-history-import/1.0,2025-08-08 12:51:00.000,2026-05-04 03:43:07.957
Lelando1234,C:/Users/tiaan/My Drive/Tiaan/Personal/Documents & Other/Github/CompanyIntranet/.gitignore,file,coding,CompanyIntranet,main,Text,true,Wakatime,Windows,Tiaan-Lenovo,codex-wakapi-history-import/1.0,2025-08-08 12:53:00.000,2026-05-04 03:43:07.957
Lelando1234,C:/Users/tiaan/My Drive/Tiaan/Personal/Documents & Other/Github/CompanyIntranet/.gitignore,file,coding,CompanyIntranet,main,Text,true,Wakatime,Windows,Tiaan-Lenovo,codex-wakapi-history-import/1.0,2025-08-08 12:55:00.000,2026-05-04 03:43:07.957
Lelando1234,C:/Users/tiaan/My Drive/Tiaan/Personal/Documents & Other/Github/CompanyIntranet/.gitignore,file,coding,CompanyIntranet,main,Text,true,Wakatime,Windows,Tiaan-Lenovo,codex-wakapi-history-import/1.0,2025-08-08 12:57:00.000,2026-05-04 03:43:07.957
Lelando1234,C:/Users/tiaan/My Drive/Tiaan/Personal/Documents & Other/Github/CompanyIntranet/README.md,file,coding,CompanyIntranet,main,Markdown,true,Wakatime,Windows,Tiaan-Lenovo,codex-wakapi-history-import/1.0,2025-08-08 12:59:00.000,2026-05-04 03:43:07.957
Lelando1234,C:/Users/tiaan/My Drive/Tiaan/Personal/Documents & Other/Github/CompanyIntranet/README.md,file,coding,CompanyIntranet,main,Markdown,true,Wakatime,Windows,Tiaan-Lenovo,codex-wakapi-history-import/1.0,2025-08-08 13:01:00.000,2026-05-04 03:43:07.957
Lelando1234,C:/Users/tiaan/My Drive/Tiaan/Personal/Documents & Other/Github/CompanyIntranet/README.md,file,coding,CompanyIntranet,main,Markdown,true,Wakatime,Windows,Tiaan-Lenovo,codex-wakapi-history-import/1.0,2025-08-08 13:03:00.000,2026-05-04 03:43:07.957
Lelando1234,C:/Users/tiaan/My Drive/Tiaan/Personal/Documents & Other/Github/CompanyIntranet/src/App.tsx,file,coding,CompanyIntranet,main,TypeScript,true,Wakatime,Windows,Tiaan-Lenovo,codex-wakapi-history-import/1.0,2025-08-11 01:12:09.000,2026-05-04 03:43:07.957
Lelando1234,C:/Users/tiaan/My Drive/Tiaan/Personal/Documents & Other/Github/CompanyIntranet/src/App.tsx,file,coding,CompanyIntranet,main,TypeScript,true,Wakatime,Windows,Tiaan-Lenovo,codex-wakapi-history-import/1.0,2025-08-11 01:14:09.000,2026-05-04 03:43:07.957
